Date;Visitor;PTS_visitor;Home;PTS_home;OT
Tue Oct 16 2018;Philadelphia 76ers;87;Boston Celtics;105;
Tue Oct 16 2018;Oklahoma City Thunder;100;Golden State Warriors;108;
Wed Oct 17 2018;Milwaukee Bucks;113;Charlotte Hornets;112;
Wed Oct 17 2018;Brooklyn Nets;100;Detroit Pistons;103;
Wed Oct 17 2018;New Orleans Pelicans;131;Houston Rockets;112;
Wed Oct 17 2018;Memphis Grizzlies;83;Indiana Pacers;111;
Wed Oct 17 2018;Denver Nuggets;107;Los Angeles Clippers;98;
Wed Oct 17 2018;Atlanta Hawks;107;New York Knicks;126;
Wed Oct 17 2018;Miami Heat;101;Orlando Magic;104;
Wed Oct 17 2018;Dallas Mavericks;100;Phoenix Suns;121;
Wed Oct 17 2018;Utah Jazz;123;Sacramento Kings;117;
Wed Oct 17 2018;Minnesota Timberwolves;108;San Antonio Spurs;112;
Wed Oct 17 2018;Cleveland Cavaliers;104;Toronto Raptors;116;
Thu Oct 18 2018;Chicago Bulls;108;Philadelphia 76ers;127;
Thu Oct 18 2018;Los Angeles Lakers;119;Portland Trail Blazers;128;
Thu Oct 18 2018;Miami Heat;113;Washington Wizards;112;
Fri Oct 19 2018;New York Knicks;105;Brooklyn Nets;107;
Fri Oct 19 2018;Oklahoma City Thunder;92;Los Angeles Clippers;108;
Fri Oct 19 2018;Atlanta Hawks;117;Memphis Grizzlies;131;
Fri Oct 19 2018;Indiana Pacers;101;Milwaukee Bucks;118;
Fri Oct 19 2018;Cleveland Cavaliers;123;Minnesota Timberwolves;131;
Fri Oct 19 2018;Sacramento Kings;129;New Orleans Pelicans;149;
Fri Oct 19 2018;Charlotte Hornets;120;Orlando Magic;88;
Fri Oct 19 2018;Boston Celtics;101;Toronto Raptors;113;
Fri Oct 19 2018;Golden State Warriors;124;Utah Jazz;123;
Sat Oct 20 2018;Detroit Pistons;118;Chicago Bulls;116;
Sat Oct 20 2018;Minnesota Timberwolves;136;Dallas Mavericks;140;
Sat Oct 20 2018;Phoenix Suns;91;Denver Nuggets;119;
Sat Oct 20 2018;Brooklyn Nets;112;Indiana Pacers;132;
Sat Oct 20 2018;Houston Rockets;124;Los Angeles Lakers;115;
Sat Oct 20 2018;Charlotte Hornets;113;Miami Heat;112;
Sat Oct 20 2018;Boston Celtics;103;New York Knicks;101;
Sat Oct 20 2018;Orlando Magic;115;Philadelphia 76ers;116;
Sat Oct 20 2018;San Antonio Spurs;108;Portland Trail Blazers;121;
Sat Oct 20 2018;Toronto Raptors;117;Washington Wizards;113;
Sun Oct 21 2018;Atlanta Hawks;133;Cleveland Cavaliers;111;
Sun Oct 21 2018;Golden State Warriors;98;Denver Nuggets;100;
Sun Oct 21 2018;Houston Rockets;112;Los Angeles Clippers;115;
Sun Oct 21 2018;Sacramento Kings;131;Oklahoma City Thunder;120;
Mon Oct 22 2018;Orlando Magic;93;Boston Celtics;90;
Mon Oct 22 2018;Chicago Bulls;109;Dallas Mavericks;115;
Mon Oct 22 2018;Phoenix Suns;103;Golden State Warriors;123;
Mon Oct 22 2018;San Antonio Spurs;143;Los Angeles Lakers;142;OT
Mon Oct 22 2018;New York Knicks;113;Milwaukee Bucks;124;
Mon Oct 22 2018;Indiana Pacers;91;Minnesota Timberwolves;101;
Mon Oct 22 2018;Washington Wizards;125;Portland Trail Blazers;124;OT
Mon Oct 22 2018;Charlotte Hornets;106;Toronto Raptors;127;
Mon Oct 22 2018;Memphis Grizzlies;92;Utah Jazz;84;
Tue Oct 23 2018;Sacramento Kings;112;Denver Nuggets;126;
Tue Oct 23 2018;Philadelphia 76ers;132;Detroit Pistons;133;OT
Tue Oct 23 2018;Los Angeles Clippers;109;New Orleans Pelicans;116;
Wed Oct 24 2018;Dallas Mavericks;104;Atlanta Hawks;111;
Wed Oct 24 2018;Charlotte Hornets;110;Chicago Bulls;112;
Wed Oct 24 2018;Brooklyn Nets;102;Cleveland Cavaliers;86;
Wed Oct 24 2018;Washington Wizards;122;Golden State Warriors;144;
Wed Oct 24 2018;Utah Jazz;100;Houston Rockets;89;
Wed Oct 24 2018;New York Knicks;87;Miami Heat;110;
Wed Oct 24 2018;Philadelphia 76ers;108;Milwaukee Bucks;123;
Wed Oct 24 2018;Los Angeles Lakers;131;Phoenix Suns;113;
Wed Oct 24 2018;Memphis Grizzlies;92;Sacramento Kings;97;
Wed Oct 24 2018;Indiana Pacers;116;San Antonio Spurs;96;
Wed Oct 24 2018;Minnesota Timberwolves;105;Toronto Raptors;112;
Thu Oct 25 2018;Cleveland Cavaliers;103;Detroit Pistons;110;
Thu Oct 25 2018;Denver Nuggets;114;Los Angeles Lakers;121;
Thu Oct 25 2018;Boston Celtics;101;Oklahoma City Thunder;95;
Thu Oct 25 2018;Portland Trail Blazers;128;Orlando Magic;114;
Fri Oct 26 2018;Chicago Bulls;106;Charlotte Hornets;135;
Fri Oct 26 2018;Los Angeles Clippers;133;Houston Rockets;113;
Fri Oct 26 2018;Milwaukee Bucks;125;Minnesota Timberwolves;95;
Fri Oct 26 2018;Brooklyn Nets;115;New Orleans Pelicans;117;
Fri Oct 26 2018;Golden State Warriors;128;New York Knicks;100;
Fri Oct 26 2018;Washington Wizards;112;Sacramento Kings;116;
Fri Oct 26 2018;Dallas Mavericks;107;Toronto Raptors;116;
Sat Oct 27 2018;Chicago Bulls;97;Atlanta Hawks;85;
Sat Oct 27 2018;Indiana Pacers;119;Cleveland Cavaliers;107;
Sat Oct 27 2018;Boston Celtics;109;Detroit Pistons;89;
Sat Oct 27 2018;Phoenix Suns;96;Memphis Grizzlies;117;
Sat Oct 27 2018;Portland Trail Blazers;111;Miami Heat;120;
Sat Oct 27 2018;Orlando Magic;91;Milwaukee Bucks;113;
Sat Oct 27 2018;Utah Jazz;132;New Orleans Pelicans;111;
Sat Oct 27 2018;Charlotte Hornets;103;Philadelphia 76ers;105;
Sat Oct 27 2018;Los Angeles Lakers;106;San Antonio Spurs;110;
Sun Oct 28 2018;Golden State Warriors;120;Brooklyn Nets;114;
Sun Oct 28 2018;Utah Jazz;113;Dallas Mavericks;104;
Sun Oct 28 2018;Washington Wizards;104;Los Angeles Clippers;136;
Sun Oct 28 2018;Phoenix Suns;110;Oklahoma City Thunder;117;
Mon Oct 29 2018;Golden State Warriors;149;Chicago Bulls;124;
Mon Oct 29 2018;New Orleans Pelicans;111;Denver Nuggets;116;
Mon Oct 29 2018;Portland Trail Blazers;103;Indiana Pacers;93;
Mon Oct 29 2018;Sacramento Kings;123;Miami Heat;113;
Mon Oct 29 2018;Toronto Raptors;109;Milwaukee Bucks;124;
Mon Oct 29 2018;Los Angeles Lakers;120;Minnesota Timberwolves;124;
Mon Oct 29 2018;Brooklyn Nets;96;New York Knicks;115;
Mon Oct 29 2018;Atlanta Hawks;92;Philadelphia 76ers;113;
Mon Oct 29 2018;Dallas Mavericks;108;San Antonio Spurs;113;OT
Tue Oct 30 2018;Detroit Pistons;105;Boston Celtics;108;
Tue Oct 30 2018;Miami Heat;113;Charlotte Hornets;125;
Tue Oct 30 2018;Atlanta Hawks;114;Cleveland Cavaliers;136;
Tue Oct 30 2018;Portland Trail Blazers;104;Houston Rockets;85;
Tue Oct 30 2018;Washington Wizards;95;Memphis Grizzlies;107;
Tue Oct 30 2018;Los Angeles Clippers;110;Oklahoma City Thunder;128;
Tue Oct 30 2018;Sacramento Kings;107;Orlando Magic;99;
Tue Oct 30 2018;Philadelphia 76ers;112;Toronto Raptors;129;
Wed Oct 31 2018;Detroit Pistons;119;Brooklyn Nets;120;OT
Wed Oct 31 2018;Denver Nuggets;108;Chicago Bulls;107;OT
Wed Oct 31 2018;New Orleans Pelicans;121;Golden State Warriors;131;
Wed Oct 31 2018;Dallas Mavericks;113;Los Angeles Lakers;114;
Wed Oct 31 2018;Utah Jazz;125;Minnesota Timberwolves;128;
Wed Oct 31 2018;Indiana Pacers;107;New York Knicks;101;
Wed Oct 31 2018;San Antonio Spurs;120;Phoenix Suns;90;
Thu Nov 1 2018;Sacramento Kings;146;Atlanta Hawks;115;
Thu Nov 1 2018;Milwaukee Bucks;113;Boston Celtics;117;
Thu Nov 1 2018;Oklahoma City Thunder;111;Charlotte Hornets;107;
Thu Nov 1 2018;Denver Nuggets;110;Cleveland Cavaliers;91;
Thu Nov 1 2018;Los Angeles Clippers;113;Philadelphia 76ers;122;
Thu Nov 1 2018;New Orleans Pelicans;119;Portland Trail Blazers;132;
Fri Nov 2 2018;Houston Rockets;119;Brooklyn Nets;111;
Fri Nov 2 2018;Indiana Pacers;107;Chicago Bulls;105;
Fri Nov 2 2018;New York Knicks;118;Dallas Mavericks;106;
Fri Nov 2 2018;Minnesota Timberwolves;99;Golden State Warriors;116;
Fri Nov 2 2018;Los Angeles Clippers;120;Orlando Magic;95;
Fri Nov 2 2018;Toronto Raptors;107;Phoenix Suns;98;
Fri Nov 2 2018;Memphis Grizzlies;110;Utah Jazz;100;
Fri Nov 2 2018;Oklahoma City Thunder;134;Washington Wizards;111;
Sat Nov 3 2018;Miami Heat;118;Atlanta Hawks;123;
Sat Nov 3 2018;Houston Rockets;96;Chicago Bulls;88;
Sat Nov 3 2018;Cleveland Cavaliers;94;Charlotte Hornets;126;
Sat Nov 3 2018;Utah Jazz;88;Denver Nuggets;103;
Sat Nov 3 2018;Boston Celtics;101;Indiana Pacers;102;
Sat Nov 3 2018;Detroit Pistons;99;Philadelphia 76ers;109;
Sat Nov 3 2018;Los Angeles Lakers;114;Portland Trail Blazers;110;
Sat Nov 3 2018;New Orleans Pelicans;95;San Antonio Spurs;109;
Sun Nov 4 2018;Philadelphia 76ers;97;Brooklyn Nets;122;
Sun Nov 4 2018;Toronto Raptors;121;Los Angeles Lakers;107;
Sun Nov 4 2018;Sacramento Kings;109;Milwaukee Bucks;144;
Sun Nov 4 2018;Memphis Grizzlies;100;Phoenix Suns;102;
Sun Nov 4 2018;Minnesota Timberwolves;81;Portland Trail Blazers;111;
Sun Nov 4 2018;Orlando Magic;117;San Antonio Spurs;110;
Sun Nov 4 2018;New York Knicks;95;Washington Wizards;108;
Mon Nov 5 2018;Boston Celtics;107;Denver Nuggets;115;
Mon Nov 5 2018;Miami Heat;120;Detroit Pistons;115;OT
Mon Nov 5 2018;Memphis Grizzlies;101;Golden State Warriors;117;
Mon Nov 5 2018;Houston Rockets;98;Indiana Pacers;94;
Mon Nov 5 2018;Minnesota Timberwolves;109;Los Angeles Clippers;120;
Mon Nov 5 2018;Chicago Bulls;116;New York Knicks;115;2OT
Mon Nov 5 2018;New Orleans Pelicans;116;Oklahoma City Thunder;122;
Mon Nov 5 2018;Cleveland Cavaliers;100;Orlando Magic;102;
Mon Nov 5 2018;Toronto Raptors;124;Utah Jazz;111;
Tue Nov 6 2018;Atlanta Hawks;102;Charlotte Hornets;113;
Tue Nov 6 2018;Washington Wizards;100;Dallas Mavericks;119;
Tue Nov 6 2018;Brooklyn Nets;104;Phoenix Suns;82;
Tue Nov 6 2018;Milwaukee Bucks;103;Portland Trail Blazers;118;
Wed Nov 7 2018;New York Knicks;112;Atlanta Hawks;107;
Wed Nov 7 2018;Oklahoma City Thunder;95;Cleveland Cavaliers;86;
Wed Nov 7 2018;Philadelphia 76ers;100;Indiana Pacers;94;
Wed Nov 7 2018;Minnesota Timberwolves;110;Los Angeles Lakers;114;
Wed Nov 7 2018;Denver Nuggets;87;Memphis Grizzlies;89;
Wed Nov 7 2018;San Antonio Spurs;88;Miami Heat;95;
Wed Nov 7 2018;Chicago Bulls;98;New Orleans Pelicans;107;
Wed Nov 7 2018;Detroit Pistons;103;Orlando Magic;96;
Wed Nov 7 2018;Toronto Raptors;114;Sacramento Kings;105;
Wed Nov 7 2018;Dallas Mavericks;102;Utah Jazz;117;
Thu Nov 8 2018;Milwaukee Bucks;134;Golden State Warriors;111;
Thu Nov 8 2018;Houston Rockets;80;Oklahoma City Thunder;98;
Thu Nov 8 2018;Boston Celtics;116;Phoenix Suns;109;OT
Thu Nov 8 2018;Los Angeles Clippers;105;Portland Trail Blazers;116;
Fri Nov 9 2018;Detroit Pistons;124;Atlanta Hawks;109;
Fri Nov 9 2018;Brooklyn Nets;112;Denver Nuggets;110;
Fri Nov 9 2018;Indiana Pacers;110;Miami Heat;102;
Fri Nov 9 2018;Washington Wizards;108;Orlando Magic;117;
Fri Nov 9 2018;Charlotte Hornets;132;Philadelphia 76ers;133;OT
Fri Nov 9 2018;Minnesota Timberwolves;110;Sacramento Kings;121;
Fri Nov 9 2018;Boston Celtics;115;Utah Jazz;123;
Sat Nov 10 2018;Cleveland Cavaliers;98;Chicago Bulls;99;
Sat Nov 10 2018;Oklahoma City Thunder;96;Dallas Mavericks;111;
Sat Nov 10 2018;Brooklyn Nets;100;Golden State Warriors;116;
