Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,45,10900,1978,4050,.488,589,1502,.392,1389,2548,.545,793,964,.823,457,1637,2094,1294,329,284,627,981,5338
2,New Orleans Pelicans,45,10800,1965,4089,.481,456,1269,.359,1509,2820,.535,903,1162,.777,507,1606,2113,1218,339,249,638,1006,5289
3,Toronto Raptors,46,11165,1953,4126,.473,519,1518,.342,1434,2608,.550,811,1011,.802,471,1612,2083,1109,390,253,612,966,5236
4,Philadelphia 76ers,45,10925,1862,3945,.472,505,1420,.356,1357,2525,.537,962,1256,.766,473,1664,2137,1226,333,247,691,1029,5191
5,Milwaukee Bucks,44,10610,1910,3983,.480,589,1686,.349,1321,2297,.575,766,1004,.763,408,1752,2160,1176,336,264,612,908,5175
6,Portland Trail Blazers,46,11140,1898,4126,.460,506,1409,.359,1392,2717,.512,858,1053,.815,513,1696,2209,1020,299,230,636,937,5160
7,San Antonio Spurs,46,11140,1934,4039,.479,452,1122,.403,1482,2917,.508,818,997,.820,426,1612,2038,1139,288,209,557,849,5138
8,Brooklyn Nets,46,11215,1843,4053,.455,570,1575,.362,1273,2478,.514,870,1156,.753,524,1584,2108,1082,300,189,669,1026,5126
9,Los Angeles Clippers,44,10660,1823,3846,.474,423,1087,.389,1400,2759,.507,1000,1251,.799,428,1573,2001,1014,274,214,619,1004,5069
10,Sacramento Kings,44,10585,1919,4086,.470,518,1330,.389,1401,2756,.508,689,973,.708,466,1503,1969,1129,369,205,593,966,5045
11,Los Angeles Lakers,45,10825,1908,4063,.470,462,1383,.334,1446,2680,.540,731,1070,.683,455,1665,2120,1089,356,254,684,918,5009
12,Washington Wizards,44,10760,1847,3968,.465,495,1457,.340,1352,2511,.538,806,1060,.760,405,1394,1799,1123,397,223,613,951,4995
13,Utah Jazz,46,11040,1800,3907,.461,521,1507,.346,1279,2400,.533,859,1181,.727,437,1642,2079,1133,396,250,688,979,4980
14,Houston Rockets,44,10660,1692,3776,.448,679,1931,.352,1013,1845,.549,866,1113,.778,473,1378,1851,932,339,231,594,994,4929
15,Boston Celtics,44,10660,1823,3979,.458,579,1584,.366,1244,2395,.519,695,871,.798,450,1533,1983,1145,383,237,559,920,4920
16,Minnesota Timberwolves,44,10610,1799,4002,.450,446,1256,.355,1353,2746,.493,862,1090,.791,500,1456,1956,1078,396,247,557,890,4906
17,Oklahoma City Thunder,43,10370,1835,4018,.457,421,1284,.328,1414,2734,.517,772,1087,.710,540,1535,2075,972,445,233,606,962,4863
18,Atlanta Hawks,44,10585,1783,3960,.450,510,1509,.338,1273,2451,.519,760,1029,.739,513,1493,2006,1122,377,236,809,1053,4836
19,Dallas Mavericks,44,10610,1704,3785,.450,531,1525,.348,1173,2260,.519,893,1196,.747,463,1561,2024,993,330,196,671,866,4832
20,Charlotte Hornets,43,10445,1765,3907,.452,503,1405,.358,1262,2502,.504,784,994,.789,426,1491,1917,1024,309,217,524,842,4817
21,Phoenix Suns,45,10950,1808,3941,.459,442,1304,.339,1366,2637,.518,708,906,.781,403,1418,1821,1085,414,223,703,1084,4766
22,Denver Nuggets,43,10370,1792,3855,.465,464,1315,.353,1328,2540,.523,701,934,.751,532,1480,2012,1170,341,199,571,869,4749
23,Indiana Pacers,43,10345,1805,3739,.483,401,1074,.373,1404,2665,.527,674,906,.744,400,1478,1878,1113,394,216,605,821,4685
24,Cleveland Cavaliers,45,10800,1739,3913,.444,415,1163,.357,1324,2750,.481,737,925,.797,484,1421,1905,907,305,116,569,937,4630
25,New York Knicks,43,10420,1686,3914,.431,439,1276,.344,1247,2638,.473,802,1034,.776,493,1428,1921,855,312,190,571,930,4613
26,Detroit Pistons,43,10470,1677,3857,.435,484,1462,.331,1193,2395,.498,760,1032,.736,505,1460,1965,946,308,167,610,988,4598
27,Orlando Magic,44,10635,1713,3853,.445,483,1384,.349,1230,2469,.498,648,839,.772,397,1501,1898,1070,289,233,576,861,4557
28,Miami Heat,42,10105,1641,3732,.440,497,1399,.355,1144,2333,.490,680,980,.694,502,1471,1973,993,322,251,591,901,4459
29,Memphis Grizzlies,44,10660,1645,3626,.454,408,1191,.343,1237,2435,.508,741,985,.752,344,1418,1762,1026,382,269,583,989,4439
30,Chicago Bulls,44,10660,1682,3792,.444,403,1166,.346,1279,2626,.487,671,860,.780,344,1477,1821,947,350,199,632,897,4438
