Rk,Player,id_player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines,abrinal01,SG,25,OKC,31,2,588,56,157,.357,41,127,.323,15,30,.500,.487,12,13,.923,5,43,48,20,17,6,14,53,165
2,Quincy Acy,acyqu01,PF,28,PHO,10,0,123,4,18,.222,2,15,.133,2,3,.667,.278,7,10,.700,3,22,25,8,1,4,4,24,17
3,Jaylen Adams,adamsja01,PG,22,ATL,21,0,221,22,59,.373,18,45,.400,4,14,.286,.525,2,2,1.000,7,23,30,35,6,2,15,20,64
4,Steven Adams,adamsst01,C,25,OKC,66,66,2231,407,675,.603,0,1,.000,407,674,.604,.603,135,257,.525,315,321,636,104,104,54,115,170,949
5,Bam Adebayo,adebaba01,C,21,MIA,67,14,1493,207,358,.578,1,10,.100,206,348,.592,.580,143,193,.741,133,313,446,141,51,52,94,172,558
6,Deng Adel,adelde01,SF,21,CLE,14,3,177,9,32,.281,5,20,.250,4,12,.333,.359,2,2,1.000,2,14,16,4,1,4,5,12,25
7,DeVaughn Akoon-Purcell,akoonde01,SG,25,DEN,7,0,22,3,10,.300,0,4,.000,3,6,.500,.300,1,2,.500,1,3,4,6,2,0,2,4,7
8,LaMarcus Aldridge,aldrila01,C,33,SAS,67,67,2208,563,1094,.515,8,31,.258,555,1063,.522,.518,296,348,.851,203,395,598,164,36,84,126,149,1430
9,Rawle Alkins,alkinra01,SG,21,CHI,3,0,6,1,4,.250,1,1,1.000,0,3,.000,.375,0,0,,3,0,3,2,1,0,0,1,3
10,Grayson Allen,allengr01,SG,23,UTA,31,1,292,36,114,.316,21,73,.288,15,41,.366,.408,27,38,.711,1,10,11,18,4,3,17,32,120
11,Jarrett Allen,allenja01,C,20,BRK,68,68,1816,294,497,.592,6,42,.143,288,455,.633,.598,167,236,.708,168,405,573,99,39,104,86,160,761
12,Kadeem Allen,allenka01,SG,26,NYK,10,1,225,37,76,.487,8,16,.500,29,60,.483,.539,19,26,.731,5,24,29,45,8,1,11,26,101
13,Al-Farouq Aminu,aminual01,PF,28,POR,67,67,1936,210,479,.438,83,234,.355,127,245,.518,.525,119,140,.850,96,412,508,89,58,28,58,127,622
14,Justin Anderson,anderju01,SF,25,ATL,37,0,283,36,96,.375,8,45,.178,28,51,.549,.417,16,21,.762,12,35,47,13,13,8,15,34,96
15,Kyle Anderson,anderky01,SF,25,MEM,43,40,1281,150,276,.543,9,34,.265,141,242,.583,.560,37,64,.578,48,203,251,128,54,37,58,112,346
16,Ryan Anderson,anderry01,PF,30,TOT,21,8,304,21,66,.318,9,38,.237,12,28,.429,.386,12,16,.750,16,32,48,18,3,1,14,25,63
16,Ryan Anderson,anderry01,PF,30,PHO,15,8,278,19,60,.317,7,34,.206,12,26,.462,.375,11,14,.786,14,31,45,17,3,1,12,23,56
16,Ryan Anderson,anderry01,PF,30,MIA,6,0,26,2,6,.333,2,4,.500,0,2,.000,.500,1,2,.500,2,1,3,1,0,0,2,2,7
17,Ike Anigbogu,anigbik01,C,20,IND,3,0,6,0,3,.000,0,0,,0,3,.000,.000,0,0,,1,2,3,1,0,1,1,0,0
18,Giannis Antetokounmpo,antetgi01,PF,24,MIL,63,63,2073,622,1074,.579,39,161,.242,583,913,.639,.597,417,579,.720,144,648,792,374,83,89,243,209,1700
19,Carmelo Anthony,anthoca01,PF,34,HOU,10,2,294,49,121,.405,21,64,.328,28,57,.491,.492,15,22,.682,9,45,54,5,4,7,8,32,134
20,OG Anunoby,anunoog01,SF,21,TOR,57,6,1171,159,351,.453,61,177,.345,98,174,.563,.540,27,52,.519,50,123,173,39,39,16,43,122,406
21,Ryan Arcidiacono,arcidry01,PG,24,CHI,68,28,1682,143,322,.444,70,189,.370,73,133,.549,.553,65,73,.890,18,154,172,235,58,4,55,146,421
22,Trevor Ariza,arizatr01,SF,33,TOT,64,64,2247,279,703,.397,137,412,.333,142,291,.488,.494,126,158,.797,50,306,356,241,87,17,100,126,821
22,Trevor Ariza,arizatr01,SF,33,PHO,26,26,884,86,227,.379,50,139,.360,36,88,.409,.489,36,43,.837,16,129,145,87,38,8,39,44,258
22,Trevor Ariza,arizatr01,SF,33,WAS,38,38,1363,193,476,.405,87,273,.319,106,203,.522,.497,90,115,.783,34,177,211,154,49,9,61,82,563
23,D.J. Augustin,augusdj01,PG,31,ORL,68,68,1884,257,547,.470,113,262,.431,144,285,.505,.573,152,177,.859,32,123,155,335,41,3,104,95,779
24,Deandre Ayton,aytonde01,C,20,PHO,63,62,1953,451,773,.583,0,4,.000,451,769,.586,.583,128,169,.757,195,454,649,118,54,56,104,184,1030
25,Dwayne Bacon,bacondw01,SG,23,CHO,28,1,344,54,107,.505,16,34,.471,38,73,.521,.579,13,15,.867,3,41,44,22,5,1,13,39,137
26,Marvin Bagley,baglema01,PF,19,SAC,47,2,1165,249,489,.509,16,62,.258,233,427,.546,.526,138,198,.697,117,221,338,47,27,47,76,96,652
27,Ron Baker,bakerro01,SG,25,TOT,15,0,152,4,20,.200,1,13,.077,3,7,.429,.225,5,6,.833,1,10,11,15,6,1,5,18,14
27,Ron Baker,bakerro01,SG,25,NYK,11,0,107,4,16,.250,1,9,.111,3,7,.429,.281,5,6,.833,1,6,7,13,5,0,3,16,14
27,Ron Baker,bakerro01,SG,25,WAS,4,0,45,0,4,.000,0,4,.000,0,0,,.000,0,0,,0,4,4,2,1,1,2,2,0
28,Wade Baldwin,baldwwa01,PG,22,POR,16,0,94,10,33,.303,2,9,.222,8,24,.333,.333,8,11,.727,2,13,15,12,1,2,14,11,30
29,Lonzo Ball,balllo01,PG,21,LAL,47,45,1423,185,456,.406,75,228,.329,110,228,.482,.488,20,48,.417,54,197,251,255,69,19,103,114,465
30,Mohamed Bamba,bambamo01,C,20,ORL,47,1,766,117,243,.481,21,70,.300,96,173,.555,.525,37,63,.587,64,169,233,39,13,64,43,102,292
31,J.J. Barea,bareajo01,PG,34,DAL,38,0,752,161,385,.418,38,128,.297,123,257,.479,.468,55,78,.705,13,82,95,211,22,1,72,50,415
32,Harrison Barnes,barneha02,PF-SF,26,TOT,61,61,2018,346,852,.406,141,371,.380,205,481,.426,.489,197,235,.838,47,244,291,86,46,12,80,101,1030
32,Harrison Barnes,barneha02,PF,26,DAL,49,49,1584,290,717,.404,121,311,.389,169,406,.416,.489,165,198,.833,36,171,207,62,33,11,68,79,866
32,Harrison Barnes,barneha02,SF,26,SAC,12,12,434,56,135,.415,20,60,.333,36,75,.480,.489,32,37,.865,11,73,84,24,13,1,12,22,164
33,Will Barton,bartowi01,SG,28,DEN,27,22,756,120,296,.405,43,121,.355,77,175,.440,.478,45,54,.833,23,112,135,90,12,15,43,52,328
